text,label,text_length
নাস্তিকআস্তিক যাই হোকফেবুতে সবাই সাফা কবিরকেভইরা গালিগালাজ দোজাহানের অশেষ সওয়াব করবার চাইতেসেনআর পুলকিত হইতেসেনকি এক বিশাল সওয়াবের করলামমনে সুপ্ত বাসনাআল্লাহ ভাল কাজের বিনিময়েআল্লাহ ইচ্ছা হাসিল জান্নাত দিবেনযদি এটাকেও ভালো হিসেবে হয়তাইলেই কেল্লা ফতেজীবনে পাপ কম ভাইবইন থামেনকুরআনের ছোট একটা সুরাসুরা কাফিরুনের বাংলা অনুবাদ পইড়েনআর ইসলাম ধর্মতে কোথায় গালি দিয়া সুপথে আনার কথা আসেএটাও বইলেনআল্লাহ সবাইকে সঠিকভাবে পড়াশোনা সালমান রুশদীর কইরা জেনে ইসলাম চর্চা করারআর মানুষকে ইসলামের সহিহ দাওয়াতের তৌফিক দান করুনআমিন,religious,510
মানুষের মত আসলে ধার্মিক।,religious,24
একজন মিথ্যাবাদী দেশ দ্রবীভূত।,threat,29
দেশ মুসলমানদের বিদেশে সংখ্যক হিন্দুর বসবাস পরিবার ভারত দেশে আলাদা হচ্ছে।,religious,72
পরিবার সৃষ্ট জন্মের ঈশ্বরকে দেখেছেন বিশ্বাস পারবেন ঈশ্বর আপনাকে হত্যা পারবেন পৃথিবীতে অবিশ্বাসীদের অপমান আপনাকে হত্যা পারবেন না।,religious,128
স্বীকার দেশের লোক অসাম্প্রদায়িক কিভাবে ১ দেশ সরকারের বিরুদ্ধে অভিযোগ আনতে পারল। মৌলবাদী মুসলিম সাম্প্রদায়িক সম্প্রীতি আছে। চাই। অসম্প্রদায়িক দেশ পৃথিবীর কোথাও নষ্ট প্রতিবেশী দেশগুলোর কথায় ধরুন ভারতে,religious,198
নাস্তিক দুষ্ট।,religious,14
==,religious,2
পরকাল বিশ্বাস ঈশ্বরের বিচার আরো নাস্তিককে কথা বলার উৎসাহিত দেশ লাথি মেরে বের দেয়া বাল্টিকে মেরে বের,religious,100
ঘটনা নির্দেশনার উৎস হয়। আল্লাহ সুবাহানা আল্লাহ কেয়ামত ক্ষমা করবেন। আল্লাহ ক্ষমাকারীদের ভালোবাসেন।,religious,99
নাস্তিক লেসবিয়ান অাছে সঠিক পথে অাস জন্ম দাত্রী মা সময় ছোট করছিস অপরাধ,religious,69
বাকস্বাধীনতায় বিশ্বাস আসিফ কেবল নাস্তিক মানুষ ডোআলাপ বর্তমান সংখ্যায় প্রকাশ লিঙ্কে ওয়েবসাইটডকমআলাপ,religious,101
নিজেকে খারাপভাবে খারাপ আচরণ অপমান নাস্তিক বলবেন বলি বিপরীতটা বলি নাস্তিক লজ্জা প্রকৃত শিক্ষা নেই।,religious,97
একদিকে বলছো পরকালে বিশ্বাস করো অন্যদিকে বিশ্বাস স্থাপন ক্ষমা চাচ্ছো। মুল বিষয়টা কারো বিশ্বাসে আঘাত এনে থাকলে বলছো বিশ্বাস এখনো স্থাপন পারো নি। রবের বিশ্বাস মহান যাইহোক আল্লাহর যায় আসে না। তোমাদের মত নাস্তিকদের মুখাপেক্ষী নন,religious,225
তোর মুখে জুতা মারাইতে। দরকার। ভয়ে ক্ষমা চাইলে শেষএতো সহজ সবক্যারিয়ারের তোর আসছে সরি মারা,threat,88
যেহেতু মত মানুষ মত নাস্তিকদের প্রমাণ মৃত দেহকে রীতিতে কবর দেয়া নামটা পরিবর্তন করনি,religious,83
ছোট মানুষের কথা বলার হিরুর নিতম্ব জুতা লাল করতাম।,threat,49
পরিষ্কার মানুষ জীবন বাঁচানোর ট্রাম্পের কাল্পনিক ব্যাখ্যা ব্যাখ্যা বোঝাতে চাচ্ছি দেশের ভাবমূর্তি নষ্ট সুবিধা লাভের,religious,113
নাস্তিক দের নিয়া পাবলিছিটিনিউজ দরকার জ্ঞান সম্পর্কে ধারনা বাক কিভাবে চর্চা কিভাবে রক্ষা বাক স্বাধীনতা সেত প্রতিবন্ধী।,religious,117
সমাজে নাস্তিক বৈধ বাবামার সন্তান না। অবৈধভাবেই জন্ম। ধর্ম নিয়া ইচ্ছাতাই লিখতে পারেনা। তাদেরকে নিয়া প্রতিবেদন ছাপায় দেখায় তারাও মত। কারন নিয়া মাতামতির দরকার সমাজে সমস্যা আছে। কারনে নিজেরাই ধংস হবে। তানাহলে খুশি করিনা বলুক। করুক কোন সুস্থ মানুষ। পৃথিবীতে জানোয়ার বিসেবে আর্বিভাব ঘটেছে।,religious,285
পশুটি নাস্তিক শাহ রিয়ার কবিরের ষড়যন্ত্র মেয়েটিকে নিকৃষ্ট লোক ক্ষমার নামে দেশে নাস্তিকবাদ প্রতিষ্ঠা করছে।,religious,107
এখনো নাটক পাচ্ছি জোবানের ছবি আপনিও মাপবেন হৃদয়ে ফোম লুকিয়ে পৌঁছে দেবেন।,religious,73
জুতা মারা শালা রাজাকার।,threat,23
এইসব নাস্তিক ছাড়া নাউজুবিল্লাহ। না।,religious,35
সরকারী চরগুলোরে রাইট লাথি মেরে বের,threat,34
ভারতীয় সমর্থিত লীগ হওয়া।,threat,26
ধারণা নাস্তিকতা তুলনা মুলক ধনী কিছুটা মেধাবী তরুণদের হাল ফ্যাশন।হয়তো একটা কাঙ্খিত পেয়ে মন খারাপ স্রষ্টা বিরোধী হয়েছেনঅথবা শক্তি ভোগের স্থানীয় ধর্মীয় বাধা পেয়ে দূরে থাকার উদ্দেশ্য নাস্তিকতা প্রকাশ করেছেন।তবে চিন্তার বিপদে পরবে সমাধান ধারন ক্ষমতার বাইরে তখনই স্রষ্টার সামর্থানুযায়ী স্বীকার ধর্মে আসবে। কেবল দিনের অপেক্ষা কি।,religious,322
বিজ্ঞানী নিউটনের মতে সকল পরীক্ষানিরীক্ষা আবিষ্কারের পরও পিছনে অদৃশ্য শক্তি অদৃশ্য শক্তি ঈশ্বর বিজ্ঞান নাস্তিকদের নিষ্ক্রিয় দেয়।,religious,129
বাবা মুরগীর কবি মা দুবি কবির জাতীয় নাস্তিক নাস্তিকই ইসলাম বিরোধী ভারত হিন্দুদের দালাল ভালো আশা কিভাবে,religious,102
ইহুদী ইস্রাইলের দালাল,religious,21
ফাটিয়ে মেরে দিয়ে মুখ সেন্ডেল দেয়া দরকার,threat,39
সাফা কবির দেশের গুরুত্বপূর্ন কমেন্ট বিশ্বাস অবিস্বাস মানুষের মাথাব্যথা আসলে আমরাই বুঝে বুঝে নাস্তিকতার প্রসার দিয়েন সাফা কবিরের বর্তমান মার্কেট ডাউন হাই লাইটস হবার পত্রিকার প্রচারনা।আর সকল বিশ্বাসী ভাইদের একটা অনুরোধ সকল পোষ্ট করলেও লাইক করতেছি। না।,religious,249
একটা নাস্তিক তুইতো,religious,18
একজন ফাঁসিক নাস্তিক ইসলামের একটা স্তম্ভ অস্বীকার ক্ষমা মসজিদের একজন ধর্মীয় নেতার মুসলমান হন।,threat,93
দেশে এখনো লোক মানুষের কণ্ঠস্বরে নির্দোষ মানুষের ভয়ঙ্কর অপবাদ ইনশা আল্লাহ তোমাকে অল্প সময়ের শাস্তি দেবেন।,religious,106
জুতা আঘাত করো না।,threat,17
হালের সেনসেশন স্টাইল নাস্তিকতা। নাস্তিকবাদ জ্ঞানী জাহির মানুষ।,religious,62
নাস্তিককে ফাঁসি চাই।,threat,20
নাস্তিক ব্রোদের একটা ছোট প্রশ্ন যেহেতু নারীপুরুষের সমান অধিকার মাউইফার বের আনছে মিসেস নুডুলস বের যুক্তি ছাড়াই,religious,110
আয়সেন না। রোগের ওসুধ সুধু আল্লাহ পারেন। গেন নাস্তিকের আল্লাহর সাহায্য চাই ক্ষমা চাই। তুমার মত মুসলমানেরা কথা সুনি না।,religious,117
নাস্তিকের বীর্য জন্ম নেয় জন্মগত সমস্যা প্রার্থনা ঈশ্বর সকলকে নির্দেশনা দেন। আমিন।,religious,82
হিটলার লাখ মানুষকে হত্যা করল। বুশ লাখ মানুষকে হত্যা করল। একদিনের জ্বর হইছেও শুনলাম না। মানে বিচার সৃষ্টিকর্তাই বিচার প্রতিনিয়ত মানুষ শতশত অন্যায় করছে। বিচার পৃথিবীতে। মানে পার পেয়ে অমানবিক এক চিন্তা নাস্তিক ছড়িয়ে চরমপন্থীরা হত্যা করেছে। রাষ্ট্রের বিচার পেলেন ওনি পার পেয়ে গেলেন যুক্তি বলে। নাস্তিকতার আড়ালে বড় অমানবিক এক চিন্তা লালন ভেবে দেখেছেন এও জানেন পৃথিবীর মানুষ নাস্তিক পরকালে বিশ্বাস ভেবে থাকত ভয়ংকর হয়ে উঠত পৃথিবী অন্যায় জুলুম কেও পড়ত সমাজে দেখেছেন,religious,457
মানুষই নাস্তিক নয়। মানুষ ক্ষণিকের আবেগে জানাচ্ছি। ভুল ফেলে প্রায়শ্চিত্ত কঠিন হয়ে পড়ে। যুগে যুগে ধর্ম অস্বীকার এসেছে একসময় তারাই হয়ে উঠেছে সবচেয়ে বড় ধার্মিক। মানুষকে ধৈর্য ধারণ উচিত। ভুল ফয়সালা স্বয়ং অনুরোধ করবেন। সবাইকে শান্ত থাকতে আল্লাহই হয়ত,religious,243
জন্মাইছে নাস্তিক,religious,16
মালাউনের বাচ্চারা বিশ্বাস বিদেশীদের বগলে ইট রাখে।,religious,49
নিজেকে নাস্তিক ঘোষণা ব্যক্তির অনুভূতিকে কীভাবে আঘাত ধরনের একজন ব্যক্তিকে আবারও সবচেয়ে দয়ালু ব্যক্তির বিচার উপযুক্ত,religious,116
গুলিকে দরকার দিয়ে জুতা মারা,threat,27
তোমাকে জুতা মারা উচিত।,threat,22
তোরে ফাটাইয়া চারা পিডাইয়া মাথার দিয়ে জুতা ফালামু,threat,48
জানে বিশ্বাস না।,religious,16
ভিডিওতে বলার সময়ত কথা মুখে লাগে । হারিয়েছে দিচ্ছে । জনপ্রিয়তা নাস্তিকরা বিশ্বাসী নিজকে আল্লাহ ভীরু দেখাছো।আল্লাহ মাপ চেয়ে মিডিয়া বিদায় ভালো।,religious,141
কমেন্ট মাগীর একটা নাস্তিক চাই,religious,29
বাল জিতে কুতবরা,religious,15
নাস্তিকের না। কবির বুঝেন ভালো আশা সাফা মে,religious,41
হুজুরের শাস্তির ভান লেবাস পরিবর্তন ইসলামকে মজা দেশে বাল ফেলতে আসেন। ধন দ্যা বাল।,religious,80
নাস্তিক মন আগের মতই পেশা হারানোর ভয় কারন সৃষ্টিকর্তার বিশ্বাসের পেশা রক্ষা বড় ব্যাপার,religious,87
আমিরান এইডস সরকারের জিঙ্গার গন্ধ পাচ্ছি একটা বড় ব্যাপার ঈদে নাটক চাই সাথে করবে।,religious,80
অর ভাপ নাস্তিক অর মা নাস্তিক অর ফুল ফেমেলি নাস্তিক পরিচয় তুমরা হও তুমরা মুসলিম নাস্তিক বিরত থাকো,religious,96
সকালে ঘুম উঠে ফজরের নামাজ পড়ে প্রোফাইলে ঢুকে সুরা লাহাব পড়ে তিনবার ফুঁ দেবেন প্রোফাইল ফটোতে। আল্লাহর ইচ্ছায় নাস্তিকদের প্রোফাইল বন্ধ হয়ে যাবে। কথা লিওনির জাহান্নামে যাবেন। বিশ্বাস মিয়া খলিফা সানি বিশ্বাস মত বড় স্তনের হুর পাবেন। নিশ্চয়ই আল্লাহই আমীন। বেশ্যার দালাল। সর্বশ্রেষ্ঠ,religious,276
নাউজুবিল্লাহ প্রবেশ লিঙ্কে ফজিলত আছে।,religious,37
সৃষ্টির ধারণা সৃষ্টিকর্তার এসেছে কেবল সৃষ্টির ক্ষেত্রেই প্রযোজ্য সৃষ্টির নয়।,religious,77
একজন মুরগী কবিরের মেয়ে একজন নাস্তিকের মেয়ে।,religious,45
মত দেশ নাস্তিকদের তুচ্ছ খুবই দরকার মানুষ রুপি জানোয়ার এইসব মানুষদের শিখার তবুও মিডিয়াতে পায়,religious,94
খানকি মাগি একজন নাস্তিক ঈশ্বরের বিচার কিভাবে কর,religious,47
ইসলাম বিরোধী হাত জন্মের পেছনে ভারতের দাদাবাবুদের,religious,48
হিন্দুদের অত্যাচার মুসলমানরা প্রতিবাদ মুসলমানদের ঘটে হিন্দুরা প্রতিবাদ সহযোগিতা সহানুভূতি বিশ্বকে সুন্দর করবে। আশা করি।,religious,119
বুঝাই আনলাইক ওরে সবাই ।,threat,23
ধর্মযুদ্ধের ভিত্তিতে হিন্দু পরিবার সময়ে ভারতে মহাত্মা গান্ধী সাল ভারতে আত্তিয়দের সংখ্যাকে সঠিক প্রমাণ এক জায়গায় বাস খারাপ লোকের যায়।,religious,137
বছর বয়সী কাত্তা কাফী আল্লাহর ক্ষমা আল্লাহ ক্ষমা আল্লাহ ক্ষমা আল্লাহ মানুষের হৃদয়ের সকল বিষয় জানেন।,religious,101
হায় মানুষ করোনাকে সোজা মওলানা সাঈদি আলহামদুলিল্লাহ একজন ভাল ধার্মিক মানুষ।,religious,75
বাংলাদেশের একটা কমন টিস্যু ভুল করলেই নয়তো সেচ্ছায় নাম তুই নাস্তিকআর ফ্যাশেনবল মোল্লায় ভাষণ দিছে ইসলামে রক্তপাত ঘটাও সাফা কবিরের বিরুদ্ধে জেহাদ ঘোষণা লোল মোল্লা আস্তিক নাস্তিক অবচেতন মন ভুল সৃষ্টিকর্তার ক্ষমা চেয়ে নিয়েছে বিরুদ্ধে মোল্লা ইসলামে রক্তপাত ঘটানোর নাস্তিক সেফাত উল্লাহ তুই জেহাদ করনা বেডা ক্ষমা চাইছে বিরুদ্ধে ক্যান সমালোচনা বন্ধকর মোল্লারদলশবে বরাত নির্ধারণ কোর্টে মামলা নজির বিহীন আচরণ মোল্লারা কথার দাম মানুষদের কাছে।।।যুগে যুগে লালশালুর মজিদেরাই ধ্বংস এসমাজ নাস্তিকের প্রয়োজন না।সৃষ্টিকর্তা ক্ষমাশীল নন,religious,516
মহিলা কিভাবে নাস্তিক,religious,20
নাস্তিকদের সংখ্যা ।,religious,19
বুঝতে পারছি খুন করছ।,threat,20
পর্দার বিশ্বাস করায় সাফা কবির গতকাল নাস্তিকগালাগালি ইসলাম ধর্মের ইমেজ নষ্ট আস্তিক।লাইভ রেডিও সাক্ষাৎকারে একজন দর্শক ফোনে প্রশ্ন পরকালে বিশ্বাস এইভাবে চলেন কেনো দর্শকের প্রশ্নের মোটিভটা এমনই ছিলো।প্রশ্নের উত্তরে ভাষায় দিয়েছে পরকালকে বিশ্বাস না। যুক্তি অদেখা কিছুকে বিশ্বাস নারাজ।নাউযুবিল্লাহ এতোটুকুই কাহিনী বাকিটা স্যোসাল মিডিয়া বিদ্যুৎ গতিতে অবলম্বন বানিয়ে গালাগালি করলো বাবা মায়ের যৌন মিলন নিয়েও কমেন্ট বক্সে প্রশ্নবিদ্ধ করলো।প্রকৃতঅর্থে শহুরে জীবনে আধুনিক সোসাইটি মেইনটেন মুসলিম পরিবার গুলো সন্তানদের বেখায়ালে ছেড়ে দেয়। রঙ্গিণ পর্দায় পদার্পণ কথা বলবো অনেকের আলোর ঝলকানিতে ঝলক রুপসৌন্দর্যের বাহ্যিক অবয়ব চিত্রায়িত হয়ে তারকা হওয়া সম্ভব অপরিপক্ক কথোপকথন কোথায় ঠেলে দেয় নিজেও জানে না। প্রসঙ্গঃপরকাল মানুষদের কথা বার্তায় আরো সর্তকতা নাস্তিক জরুরী।মানুষ সাথে,religious,755
আফা পরিবার। নাস্তিক পরিবারের মেয়ে দুঃখ যেমনটা প্রকাশের আপনাদের চিনি। আল্লাহর নাম নেন মুখে মুখে গতকাল বলছিলেন দেখেন বিশ্বাস না। আপাতত জায়গায় থাকেন। ফকির সাজবেন টুংকো ফেসবুক আইডি জন্যে। যত্তসব গরিব।।।,religious,198
সদস্য। একজন পরিবারের নাস্তিক,religious,28
মানবতাকে শাস্তি দেয়া উচিত।,threat,27
কিভাবে দাবি মুসলমান নাস্তিকদের সন্তান।,religious,38
পরকালেই বিশ্বাস কিভাবে আল্লাহর ক্ষমা চায়আল্লাহ বিশ্বাস মন পরকালেও বিশ্বাস হবে৷ আফসোস পোষ্টাও একজন নাস্তিকতার ক্ষমা চাওয়ার একেতো নি। পাবলিকের তোপের মুখে পড়ে।,religious,156
মিথ্যুক নাস্তিক।,religious,16
খেজুর গাছ যতই জীবনে সম্ভব ধর্মে রূপান্তরিত ইসলাম ফাইজলামির ধর্ম নয়।,religious,68
একজন অভিনেত্রীর পরকালে বিশ্বাস করাটাই স্বাভাবিক। পরকালে বিশ্বাস মুসলমান কর্মের পরকালে অবশ্যই জাহান্নামী মানলে বিশ্বাস পেশায় কারোও থাকার কথা নয়। কথা কথা কষ্ট পাচ্ছি সমালোচনা করছি দেশ চাচ্ছি সাচ্চা অভিনেত্রী চেয়েছিলাম আদৌ সম্ভব ছাড়াও মেয়েটি তোহ মা বাবার যৌন মিলন নি মানে হয়েছে নয়ত। তাইলে এইসব নাস্তিক খুশি বলুক কার গালাগালি অযথা লাভ,religious,333
ভুল এখনো নিশ্চিত অভদ্রতা ভুল মানে এখনো নিশ্চিত নও একটা স্টাটাস একটা নাস্তিকের কাজ।,religious,82
হারামজাদী জুতা তোরে ছিঁড়া দিয়া বাইরান দরকার,threat,43
নাস্তিক সাথে এন্টি বাচ্চার ব্লগার। শেষ কথায় কুত্তার অধম চেয়েও ইসলামিক,religious,69
ধর্ম ধর্ম পড়াশোনা চেষ্টায় বিষয়ে পড়াশোনা কঠিন জানেন ধর্মের বই প্রচার সঠিক অধিকার কুরানকম মেনে ভালো জানেন পছন্দ জানেন সঠিক জানেন পড়েছেন পড়েছেন পড়েছেন জানেন জানেন জানেন জানেন আবিষ্কার একটা চ্যালেঞ্জ পড়েছেন পড়েছেন পড়াশোনা জানেন বলছেন বলছেন বলছেন পড়েছেন আপত্তি পড়েছেন পড়েছেন পড়েছেন পড়েছেন অধিকার পড়েছেন আপত্তি পড়েছেন আপত্তি পড়েছেন পড়েছেন পড়েছেন আপত্তি পড়েছেন পড়েছেন আপত্তি আপত্তি পড়েছেন আপত্তি আপত্তি পড়েছেন আপত্তিজনকভাবে আপত্তি পড়েছেন আপত্তিজনকভাবে। আপত্তিজনকভাবে। অধিকার অধিকার অধিকার আপত্তিজনকভাবে। অধিকার আপত্তিজনকভাবে।,threat,543
রা হা নাসাতে মাদ্রাসা ভর্তি কোরান পড়েছে রকেট তৈরি নাস্তিকদের স্থান কোথায়,religious,74
ঝুলানো বাচ্চারে ফাসিতে হোক। কুত্তার,threat,35
ভাগ্যিস পরকাল বিশ্বাস কিও করেনা নিজেকে পরকালেই টের পাক পরকাল অমর দাবী করেনি,religious,75
ভাই আপ্নাকে ধন্যবাদ দিয়ে ছোট মমিনুল চাইনা যেখানেই আল্লাহ আপনাকে সুস্থ রাখে। আমিন,religious,80
লিখেছেন ভুল থাকি মানে ভুল তওবা সন্দেহ যাই নাস্তিক আমা আল্লাহর যায় আসে না। দেন। মন যেনো আল্লাহ আপনাকে ক্ষমা,religious,106
ঈশ্বরের খাওয়ার মত নাস্তিকের অভিযোগ নাটক ভুল করছ ৫ প্রার্থনা করো নাবিল মারুফকে বিয়ে করবো।,religious,90
আসলে কিভাবে নাটকের ওঠার সাাহারিয়ার কবিরের মত সহনীয় মাত্রায় নাস্তিকের চর্চা,religious,77
এটাকে বাবা কা বেটি নাস্তিকের সন্তান নাস্তিক হবে।,religious,48
মনোয়ার ভাই রক্ত বিশ্বাসঘাতকতা বাবা ছেলে নাস্তিক ঈশ্বর পাকের আদেশ।,religious,66
একজন নাস্তিক ব্যক্তিগত ব্যাপার লোক নাস্তিকের কথা বলার ফি পেয়েছে পরিষ্কার চান।,religious,78
স্বঘোষিত নাস্তিক মুরতাদদের বিরুদ্ধে নীরবতা আচরণের সম্মতির লক্ষন। এতো সংযমী হওয়া উচিৎ যায়। পার পেয়ে একান্ত ব্যক্তিগত মতামত। ধন্যবাদ,religious,130
আল্লাহর পোস্টকে ভয় পাননি জনপ্রিয়তা বজায় রাখার দিয়েছেন। ঈশ্বর গজব করুন,religious,73
ভালই ধান্দা মুখে হবার।নাস্তিক কথা শোনান আলোচনায় আসা ক্ষমা চেয়ে সাধুতে নিজেকে উপস্থাপন করা।তোদের জন্মের কানে আজানের ধ্বনি হয়নি ফ্যামাস নাস্তিক কথা আসে,religious,149
এখনো বলছেন ভুল ভুল করেননি বুঝতে পারছি ভুল করেননি স্বেচ্ছায় করেছেনকপিড।,religious,71
যেটা চোখে দেখিনা বাপ একদমই বিশ্বাস করিনা সাফা কবির‼তোর নি মায় সংঘর্ষ তোরে জন্ম দিছে তুই দেখছ বাপ তাইলে তোর মারে বিশ্বাস করছ ক্যামনে⁉ নাস্তিক,religious,140
সৃষ্টিকর্তা সৃষ্টি আসিফ উরপে মগাচিপের কিভাবেউত্তর আসলে থাপ্রায়া উর চাপার দাত ফেলেদেব।,religious,85
সৃষ্টিকর্তা আসিফ উরপে মোগাচিপের সৃষ্টি কিভাবে আসিফ উরের লিঙ্কে জানে স্যান্ডেল ব্যয়বহুল বিছানায় রাখার টাকা নেই।,religious,112
মিয়া প্রতিষ্ঠানের কর্মচারীদের চরকায় পরিশোধ কর। তেল বেতন দেও,threat,59
শুকরের কেমন জন্মানো কয়েকটা কুলাঙ্গার। লেইখা লেখা ইসলামবিরোধী ট্যাকাটুকা বীর্যে কামাও,religious,84
জনগণ মন্তব্যে পর্যালোচনা নাস্তিকরা।,religious,35
একজন নির্বোধ নাস্তিককে জিজ্ঞেস করেছি ইসলাম পড়াশোনা সারা জীবন পড়তে পারবে একজন নাস্তিক কোরানের মত পড়তে বিশ্বের মানুষ ইহুদিরা সাথে ধর্ম কথা,religious,139
। টের বহিষ্কার ইম্পসিবল ২ বছর ওয়াশ পাবেন।,threat,41
ভালো কথা রাজাকার হুজুর নাই।বল্লে নিদ্বিধায় বানিয়ে ফাঁসি ভাগ্য হইতো।,threat,67
একজন নাস্তিকের আবির্ভাব ফলাফল নাস্তিকদের ভাল,religious,44
অনতিবিলম্বে জামাইকে চাকরি আওতায় বরখাস্ত আনা সবাইকে আইনের,threat,56
খারাপ মানুষের চেয়ে সন্তানের আশা ভালো বোকামি। শালী নাস্তিকের বাচ্চা,religious,66
রডের কবরে কয়কটা হুতার বাড়ি খাইলে বিশ্বাস অইবো গো বুয়াই,religious,54
নব্য মাগি।।। জাহান্নামি। তুই নাস্তিক,religious,36
কেয়ামতের সালামত।,threat,17
ফেসবুকে হালালহারাম খুইজেন না। আস্তিক নাস্তিক খুইজেন না। ধারণা বিচার গোপন না। এসব বিতর্ক জায়গা ফেসবুক না। “পহেলা বৈশাখ” হারাম ফতোয়া দিয়ে খুশি হইয়েন না। মঙ্গল শোভাযাত্রাকে চ্যালেঞ্জ মত ইসলামী সংস্কৃতি কই ভাবুন। ইসলামকে সুন্দরভাবে যায় উপায় বের করুন। কিলাকিলি নিজেরা শতদলে বিভক্ত হয়ে মারামারি ইসলামকেই ছোট নাস্তিকতা প্রচার গালি দিয়েই জবাব দিন।জ্ঞান দিয়ে আরো উত্তম উপায়ে বিশ্বাস প্রচার করুন। জন্যে বিশ্বাস পরিশুদ্ধ পরীক্ষিত। নামে মুসলিম না।রমজানে ঈদে মুসলিম না।উত্তরাধিকার সূত্রে পাওয়া বিশ্বাস দিয়ে নাস্তিকতা মোকাবেলা নাসর্বোপরি মানুষের অন্তর জানেন কইরেন জানেন না। অন্তর্যামী না। স্রষ্টা নন সৃষ্টি। অক্ষমতা বিচার দায়িত্ব না।,religious,619
ফি নারি নারাহালা খলি দিনা ফি হা,religious,31
জানি একদিন বিকেলে ধর্ম পরিবর্তন বলেছিলেন পক্ষ কথা বলেছিল ক্ষমা না।,religious,66
নাস্তিক চামড়াতুলে কবিরের সাফা নেব আমজনতার স্লোগান।,religious,50
নাস্তিকতা মুক্ত চিন্তা প্রশ্ন শেখায় ধর্মীয় মূর্খের কোথাও মত শেখায় । ইসলামের মত গোঁড়ামি ধর্মেই মত অশিক্ষিতও গোঁড়ামি ।।,religious,117
সবাই সাবধান সাফা করিমের নাটক ল্যাপটপ মুছে ফেলেছি সবাই সাথে খারাপ খাঙ্কির সাথে অভিনয় করো না।,threat,92
জুতা থাকো বিশ্বাস হারামজাদি করবে।,threat,33
দের পাইরা দে জুতা ফালতু মত,threat,26
মাগী পরিবারের গজব আল্লাহর তোর আসবে,religious,34
পেয়েছি।,religious,8
প্রধানমন্ত্রী শত্রু নই পাশে আছি চেনেন একদিন বাবার সাথে আকাশচুম্বী জনপ্রিয়তা এসেছে।,threat,83
নাস্তিকদের ঈশ্বর পরকালকে বিশ্বাস না।,religious,36
ধরিয়ে উচিৎ আগুন গায়ে,threat,20
পাঠ্য পুস্তক মুসলিমদের মুসলিম কবিসাহিত্যিকদের কবিতাগল্প বাদ দিয়ে সংখ্যালুঘু নাস্তিকদের আধিপত্যে চুপ ছিলেন।পাঠ্য পুস্তক অধিদপ্তরশিক্ষা মন্ত্রণালয়ে সংখ্যালুঘুদের অধিক হারে দায়িত্ব নেবার চুপ ছিলেন।এমনকি মাদ্রাসা অধিদপ্তরে হিন্দু সচিব নিয়োগ দেবার চুপ ছিলেন।মন্ত্রণালয়প্রশাসনে নিয়োগ প্রাপ্তিতেও চুপ ছিলেন।হাসপাতালশিক্ষাপ্রতিষ্ঠানে নিয়োগ প্রাপ্তিতেও আপনারা চুপ ছিলেন।তাদের সংঘঠনের অপপ্রচার নালিশে চুপ ছিলেন।তাদেরই ইশকন কর্তৃক প্রলোভনেজোর হরে কৃষ্ণ খাদ্য দেওয়াতেও চুপ ছিলেন।এতকাল চুপের রাজনীতি ধীরে ধীরে পাবেন।আগে দেশে অপপ্রচার করতো বিদেশে করছে।কদিন আমরাই বিতাড়িত হব।সর্বদা নিজ ধর্ম বিশ্বাস ছেড়ে রেজাল্ট চর্চা থাকবো।এগুলা আপনাদের নামের প্রাপ্য।খোদায়ী গজব দূরে না।,threat,656
বিশ্বাস কথা কারন জন্মটা কার বাবাকেও হয়েছে নাস্তিকতো দেখেনি,religious,58
বিশ্বাস কোথা বিচার পরকাল আসে নাস্তিকের কথা শুনলে,religious,48
নাস্তিকের বংশধর বাবা নাস্তিক একটা বোকা।,religious,39
পরিবারনাস্তিকের চুূদুরবুদুর গোডাউন একটা,religious,39
পাবেন ফেলবেন ওরে নাস্তিক মেয়ে,threat,29
